account,userType,percent,tokenAmount
VYK2HS4YHAKPESNM3SDNZSH4623AOX3JTSB6DJLS4WQAH2AWBFKGPODPTQ,7,0.74,18538.135593 VOI
BSLBJH3F7S3URBY2UJD3FPKPVXWJUDXHQTNWGOLRD3JPDSCKPOVXY7TLSE,10,1.06,26483.050847 VOI
RH556KVHEZMSDEFIHQQJJOIBFHVZZGYT2YTXF67A7LWMUR5EA6S524DGDQ,8,0.85,21186.440678 VOI
ZO52BIFNYABVSAFI75UZYTDTNX24XB52NTAKTOBEPQS76SQQJX6HD33J2E,9,0.95,23834.745763 VOI
ALGONAUTSPIUHDCX3SLFXOFDUKOE4VY36XV4JX2JHQTWJNKVBKPEBQACRY,8,0.85,21186.440678 VOI
UD5LOVE643WWV7CFQVMAYW6L5J6OW2ST3TTYYIKGDSRC3AEMFKV2RC667U,16,1.69,42372.881356 VOI
TJUVSNRBDTF2DDAWQDNLE5B4J2KUA7QQOEWSBFT5OGVPFZX5C25WWG4D3I,6,0.64,15889.830508 VOI
PEACET4BV4AIUMZT2EHXPI5PR6NT6HKPA2FNLOMS2NILIUKRPTYAGVG7IQ,11,1.17,29131.355932 VOI
AE7J2DFIHOUO4SEC5FYKVORIJGYIKV7JW5DQRL62TMCTGU3FZNYZZFQSSE,4,0.42,10593.220339 VOI
OFDX2SLOWN445RYTR24K6B4UQ4KU3ZT7G63ZUZRICICEPD52SBHPZLG32Q,4,0.42,10593.220339 VOI
KQSGM2T2RO45NABKO6J7OZJXP2KWOENILIODDSIHZGI7AWMY6N4OHL7BCU,6,0.64,15889.830508 VOI
VFR4XCDMAXMDL2EPK5E6XSQOETSXVD5EKIIDNWFWVNMRPC6G4LGH6AKSHY,12,1.27,31779.661017 VOI
4IIYAT5UPFR6NCN64XXSDMCFOCJQEZNXUCIT5ZOQ5HPDWVIULXMTSZDZEE,8,0.85,21186.440678 VOI
6UGKB7P6ZX6JEARQHCPZPEERODXDOGUHMXQCOAU6MA3WN4JSZQ5EDUCV4Q,7,0.74,18538.135593 VOI
ZPAOVODPZF4SNC6RJAIJVHDUY6MCIGUKE3UFJC46KRXP3URDEJSITZO5FA,4,0.42,10593.220339 VOI
PE7JOARGLQY7P4P3I3OPE4D4UH5FMWZHEN3VTVY3ORZTJJY3QISMV3DNOA,11,1.17,29131.355932 VOI
PAME3PYLJCMBY5UAPJHP6G4FROWEIRMWHYBNE2QPUTAWKQDFSGBB2JCQ5E,5,0.53,13241.525424 VOI
LBAMBLVEQTKMLUYIOHZR6USWVFWAZ477JMLEJNBVMG4KV5BYFXTTQASBNI,9,0.95,23834.745763 VOI
